Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2017-03-23,6803.15,6848.0,6802.0,6839.45,134376683.0,16221300000.000002,NIFTY SMLCAP 100
2017-03-24,6859.65,6892.55,6853.65,6861.9,235511469.0,22476500000.0,NIFTY SMLCAP 100
2017-03-27,6873.1,6881.95,6818.85,6832.65,148372860.0,15389800000.0,NIFTY SMLCAP 100
2017-03-28,6855.1,6883.65,6829.4,6844.4,135957117.0,14666000000.0,NIFTY SMLCAP 100
2017-03-29,6868.9,6889.9,6847.8,6875.85,195944857.0,16882000000.0,NIFTY SMLCAP 100
2017-03-30,6906.45,6958.0,6904.55,6943.2,277424136.0,22971600000.0,NIFTY SMLCAP 100
2017-03-31,6969.9,7004.65,6967.7,6984.85,202448317.0,23987199999.999996,NIFTY SMLCAP 100
2017-04-03,7009.75,7075.85,7007.85,7072.2,227344624.0,23793100000.0,NIFTY SMLCAP 100
2017-04-05,7095.25,7168.15,7081.85,7163.15,282105173.0,24387500000.0,NIFTY SMLCAP 100
2017-04-06,7148.4,7172.3,7107.6,7122.55,218002093.0,20458100000.0,NIFTY SMLCAP 100
2017-04-07,7099.3,7165.6,7039.7,7057.1,208653115.0,21082900000.0,NIFTY SMLCAP 100
2017-04-10,7094.75,7126.55,7067.8,7111.0,204257983.0,19593400000.0,NIFTY SMLCAP 100
2017-04-11,7129.6,7185.7,7129.55,7181.75,237265073.0,20961900000.0,NIFTY SMLCAP 100
2017-04-12,7192.6,7195.85,7034.25,7118.6,188617853.0,19450300000.0,NIFTY SMLCAP 100
2017-04-13,7127.75,7166.15,7112.85,7122.7,136719665.0,16161199999.999998,NIFTY SMLCAP 100
2017-04-17,7132.65,7169.5,7092.95,7164.35,230127283.0,19245900000.0,NIFTY SMLCAP 100
2017-04-18,7197.05,7297.05,7113.25,7122.7,354887282.0,36899600000.0,NIFTY SMLCAP 100
2017-04-19,7135.35,7185.65,7101.1,7177.1,182658804.0,19781900000.0,NIFTY SMLCAP 100
2017-04-20,7222.2,7322.05,7221.55,7319.4,204598493.0,24030000000.0,NIFTY SMLCAP 100
2017-04-21,7366.25,7401.6,7303.45,7344.0,259862080.0,24445800000.0,NIFTY SMLCAP 100
2017-04-24,7368.35,7434.1,7362.3,7431.45,251053574.0,23972500000.0,NIFTY SMLCAP 100
2017-04-25,7480.4,7511.15,7460.75,7489.95,224643148.0,27300800000.0,NIFTY SMLCAP 100
2017-04-26,7515.6,7530.8,7326.65,7387.75,288032384.0,30264500000.0,NIFTY SMLCAP 100
2017-04-27,7426.2,7435.85,7386.6,7403.35,249254332.0,28583800000.0,NIFTY SMLCAP 100
2017-04-28,7428.9,7451.75,7406.4,7443.45,313676610.0,28616200000.0,NIFTY SMLCAP 100
2017-05-02,7470.65,7500.65,7411.15,7452.7,247329043.0,25481500000.0,NIFTY SMLCAP 100
2017-05-03,7484.5,7539.2,7473.55,7532.75,268686399.0,34394100000.0,NIFTY SMLCAP 100
2017-05-04,7567.85,7586.9,7528.8,7570.2,228166853.0,24251900000.0,NIFTY SMLCAP 100
